tweet_id,tweet,tokens,semantic_roles,language_ids,pos_tags
tweet_id,tweet,['tweet'],[],[],[]
837746741063593992,A good over by hasan ali but iska over bachana chaye tha as per my guess,"['A', 'good', 'over', 'by', 'hasan', 'ali', 'but', 'iska', 'over', 'bachana', 'chaye', 'tha', 'as', 'per', 'my', 'guess']","['_', '_', 'ARG1', '_', '_', 'ARG3', '_', '_', '_', 'ARG1', '_', '_', '_', '_', '_', '_', '_']","['en', 'en', 'en', 'en', 'ne', 'ne', 'NULL', 'en', 'hi', 'en', 'hi', 'hi', 'hi', 'en', 'en', 'en', 'en']","['DET', 'JJ', 'NN', 'PSP', 'NNPC', 'NNP', 'VM', 'CC', 'PRP', 'NN', 'VM', 'VAUX', 'VAUX', 'PSP', 'PSP', 'PRP', 'NN']"
838703117810085888,"Dogs are loyal, par un he se koi shadi nahi karta.","['Dogs', 'are', 'loyal', ',', 'par', 'un', 'he', 'se', 'koi', 'shadi', 'nahi', 'karta', '.']","['ARG1', '_', 'ARG2_ATTR', '_', '_', 'ARGM_MNR', '_', 'ARG0', 'ARGM_PRX', 'ARGM_NEG', '_', '_']","['en', 'en', 'en', 'univ', 'hi', 'hi', 'hi', 'hi', 'hi', 'hi', 'hi', 'univ']","['NN', 'VM', 'JJ', 'PUNC', 'CC', 'PRP', 'PSP', 'PRP', 'NN', 'NEG', 'VM', 'PUNC']"
763674497933336576,"Apny bachon ko sikhaon ga ""Grades don't matter.""","['Apny', 'bachon', 'ko', 'sikhaon', 'ga', '""', 'Grades', 'do', ""n't"", 'matter', '.', '""']","['_', '_', 'ARG2', '_', '_', '_', 'ARG1', '_', 'ARGM_NEG', 'ARG1', '_', '_']","['univ', 'hi', 'hi', 'hi', 'hi', 'univ', 'en', 'en', 'en', 'en', 'univ', 'univ']","['PUNC', 'PRP', 'NN', 'PSP', 'VM', 'PUNC', 'NN', 'VAUX', 'NEG', 'VM', 'PUNC', 'PUNC']"
748246556998959104,"Highlight of the night
Ke lights nai hai.","['Highlight', 'of', 'the', 'night', 'Ke', 'lights', 'nai', 'hai', '.']","['_', '_', '_', '_', '_', '_', 'ARG1', 'ARGM_NEG', '_', '_', '_', '_']","['univ', 'en', 'en', 'en', 'en', 'hi', 'en', 'hi', 'hi', 'univ', 'univ', 'univ']","['PUNC', 'NN', 'PSP', 'DET', 'NN', 'CC', 'NN', 'NEG', 'VM', 'PUNC', 'SYM', 'PUNC']"
765681049678393344,"Hi five to the uncle yelling ""jeetega bhai jeetega""","['Hi', 'five', 'to', 'the', 'uncle', 'yelling', '""', 'jeetega', 'bhai', 'jeetega', '""']","['_', '_', '_', 'ARG1', '_', '_', 'ARG2', '_', '_', '_', 'ARG1', 'ARG0', '_', '_']","['NULL', 'univ', 'en', 'en', 'en', 'en', 'en', 'en', 'univ', 'hi', 'NULL', 'hi', 'hi', 'univ']","['VM', 'PUNC', 'NNC', 'NN', 'PSP', 'DET', 'NN', 'VM', 'PUNC', 'VM', 'CC', 'NN', 'VM', 'SYM']"
775580677974687744,Qurbani ki live transmission dekh ky aai hun.,"['Qurbani', 'ki', 'live', 'transmission', 'dekh', 'ky', 'aai', 'hun', '.']","['ARG0', '_', '_', '_', 'ARG1', 'ARGM_MNR', '_', '_', '_', '_']","['NULL', 'hi', 'hi', 'en', 'en', 'hi', 'hi', 'hi', 'hi', 'univ']","['PRP', 'NN', 'PSP', 'NNC', 'NN', 'VM', 'VAUX', 'VM', 'VAUX', 'PUNC']"
412742925299097600,Also I prefer desi adrak chai to any other fancy blends!,"['Also', 'I', 'prefer', 'desi', 'adrak', 'chai', 'to', 'any', 'other', 'fancy', 'blends', '!']","['ARGM_MNR', 'ARG0', '_', '_', '_', 'ARG1', '_', '_', '_', '_', '_', '_']","['en', 'en', 'en', 'hi', 'ne', 'hi', 'en', 'en', 'en', 'en', 'en', 'univ']","['RB', 'PRP', 'VM', 'JJ', 'NNC', 'NN', 'PSP', 'DEM', 'JJC', 'JJ', 'NN', 'PUNC']"
697814701808472064,"Ghar par parents mery khilaaf gang up hojatay hain aur idhar random tweeps, kia khoobsurat zindagi he.","['Ghar', 'par', 'parents', 'mery', 'khilaaf', 'gang', 'up', 'hojatay', 'hain', 'aur', 'idhar', 'random', 'tweeps', ',', 'kia', 'khoobsurat', 'zindagi', 'he', '.']","['ARGM_LOC', '_', 'ARG0', '_', '_', 'ARGM_PRX', '_', '_', '_', '_', '_', 'ARGM_LOC', '_', 'ARG1', '_', '_', '_', '_', '_', 'ARG2_ATTR', '_', '_']","['hi', 'hi', 'en', 'hi', 'hi', 'en', 'en', 'hi', 'hi', 'hi', 'hi', 'hi', 'en', 'en', 'NULL', 'univ', 'NULL', 'hi', 'hi', 'hi', 'hi', 'univ']","['NN', 'PSP', 'NN', 'PRP', 'PSP', 'NN', 'RP', 'VM', 'VAUX', 'VAUX', 'CC', 'NST', 'JJ', 'NN', 'VM', 'PUNC', 'CC', 'RP', 'JJ', 'NN', 'VM', 'PUNC']"
